05/19/2023   04:57:11  AM|PARKING VIOLATION|10XX  GREEN ST|MAKIKI|District 1
05/19/2023   04:56:51  AM|ARGUMENT|6XX  IWILEI RD|KALIHI|District 5
05/19/2023   04:47:08  AM|MVC VEH TOWED|KAMAKANA ST / GEIGER RD|EWA BEACH|District 8
05/19/2023   04:42:14  AM|NUISANCE COMPLAINT|8502XX  ALA AKAU ST|WAIANAE|District 8
05/19/2023   03:42:33  AM|DISORDERLY CONDUCT|16XX  MEYERS ST|KALIHI|District 5
05/19/2023   03:11:02  AM|WARRANT ARREST|FARRINGTON HWY / HAKIMO RD|NANAKULI|District 8
05/19/2023   02:55:45  AM|TRAFFIC ARREST/CITATION|44XX  KALANIANAOLE HWY|WAIALAE|District 7
05/19/2023   02:32:52  AM|VEH TOWED|FARRINGTON HWY / NANI KAI BEACH PARK DRIVEWAY|MAILI|District 8
05/19/2023   02:21:04  AM|DUI|KAM HWY / KEOLE ST|KANEOHE|District 4
05/19/2023   01:49:58  AM|DUI|4506XX  KAM HWY|KANEOHE|District 4
