01/08/2023   15:05:56  PM|PROPERTY DAMAGE|8720XX  FARRINGTON HWY|NANAKULI|District 8
01/08/2023   15:04:46  PM|MVC|6701XX  FARRINGTON HWY|WAIALUA|District 2
01/08/2023   14:56:13  PM|AUTO THEFT RECOVERY|UNIVERSITY AVE / KUILEI ST|MCCULLY|District 7
01/08/2023   14:49:52  PM|MVC|5XX  PAUMAKUA PL|KAILUA|District 4
01/08/2023   14:36:41  PM|UEMV|3XX  AUWINALA RD|KAILUA|District 4
01/08/2023   14:27:53  PM|FOLLOW UP|12XX  LOHO ST|KAILUA|District 4
01/08/2023   14:21:25  PM|FOLLOW UP|4600XX  KAM HWY|KANEOHE|District 4
01/08/2023   13:07:13  PM|ROBBERY|14XX  KAPIOLANI BLVD|ALA MOANA|District 1
01/08/2023   12:59:44  PM|MVC|XX  N HOTEL ST|DOWNTOWN|District 1
01/08/2023   10:43:36  AM|UNATTENDED DEATH|4706XX  HUI ALALA ST|KANEOHE|District 4
