09/19/2023   23:54:31  PM|NOISE COMPLAINT|5XX  N KING ST|KALIHI|District 5
09/19/2023   23:40:36  PM|SUSP PERSON|9109XX  LAAULU ST|EWA BEACH|District 8
09/19/2023   23:16:19  PM|WARRANT ARREST|LIHOLIHO ST / WILDER AVE|MAKIKI|District 1
09/19/2023   23:08:09  PM|FOUND PROPERTY|8XX  KAPAHULU AVE|KAPAHULU|District 7
09/19/2023   23:03:10  PM|FAMILY OFF/NEG|21XX  AHE ST|KAIMUKI|District 7
09/19/2023   22:33:07  PM|TRESPASS WARN|22XX  KALAKAUA AVE|WAIKIKI|District 6
09/19/2023   22:29:25  PM|UNATTENDED DEATH|8609XX  PAHANO LOOP|WAIANAE|District 8
09/19/2023   21:45:34  PM|FOLLOW UP|14XX  ALA MOANA BLVD|ALA MOANA|District 1
09/19/2023   21:19:19  PM|VEH TOWED|KUALAKAI PKWY / KEAHUMOA PKWY|KAPOLEI|District 8
