08/19/2023   05:28:23  AM|SUSP CIRCUMSTANCE|DAVENPORT ST / PENSACOLA ST|MAKIKI|District 1
08/19/2023   05:24:36  AM|ALARM CALL|4502XX  KULAULI ST|KANEOHE|District 4
08/19/2023   05:14:59  AM|TRESPASS WARN|25XX  KALAKAUA AVE|WAIKIKI|District 6
08/19/2023   04:53:34  AM|FOLLOW UP|2XX  KALIHI ST|KALIHI|District 5
08/19/2023   04:49:33  AM|LIC PLATE THEFT|9134XX  KAULUAKOKO ST|EWA BEACH|District 8
08/19/2023   04:44:38  AM|MISC SERVICE CALL|7XX  KUNEHI ST|KAPOLEI|District 8
08/19/2023   04:30:27  AM|DUI|KAIULANI AVE / KALAKAUA AVE|WAIKIKI|District 6
08/19/2023   04:26:39  AM|MVC VEH TOWED|KUHIO AVE / NAHUA ST|WAIKIKI|District 6
08/19/2023   03:57:09  AM|TRESPASS WARN|5XX  ALAKAWA ST|KALIHI|District 5
08/18/2023   22:43:26  PM|HOMICIDE|8701XX  MALIONA ST|MAILI|District 8
