09/29/2023   20:42:10  PM|WARRANT ARREST|8501XX  ALA AKAU ST|WAIANAE|District 8
09/29/2023   20:29:48  PM|AUTO THEFT|16XX  LIHOLIHO ST|MAKIKI|District 1
09/29/2023   20:24:58  PM|ARGUMENT|5202XX  KAM HWY|KAAAWA|District 4
09/29/2023   20:24:09  PM|MISC PUB|1XX  H1E FWY|AIEA|District 3
09/29/2023   20:23:22  PM|NOISE COMPLAINT|9401XX  PUPUOLE PL|WAIPAHU|District 3
09/29/2023   19:58:20  PM|PROPERTY DAMAGE|28XX  ALA ILIMA|SALT LAKE|District 5
09/29/2023   19:41:40  PM|TRESPASS WARN|13XX  PUNCHBOWL ST|HONOLULU|District 1
09/29/2023   17:51:39  PM|ORDER VIOLATION|18XX  KEEAUMOKU ST|MAKIKI|District 1
09/29/2023   17:47:51  PM|VEH TOWED|15XX  H3W FWY|MCBH|District 4
09/29/2023   17:32:03  PM|UNATTENDED DEATH|XX  N NIMITZ HWY|DOWNTOWN|District 1
