09/08/2023   00:28:23  AM|TRAFFIC STOP|UNIVERSITY FROM H1W|MANOA|District 7
09/08/2023   00:25:21  AM|SUSP CIRCUMSTANCE|4XX  ROYAL HAWAIIAN AVE|WAIKIKI|District 6
09/08/2023   00:23:58  AM|FOLLOW UP|25XX  KALAKAUA AVE|WAIKIKI|District 6
09/08/2023   00:16:05  AM|ARGUMENT|5XX  QUEEN ST|HONOLULU|District 1
09/08/2023   00:03:59  AM|FAMILY OFF/NEG|9110XX  MAKAALOA ST|EWA BEACH|District 8
09/08/2023   00:03:29  AM|NOISE COMPLAINT|17XX  MACHADO ST|KALIHI|District 5
09/07/2023   23:55:32  PM|MVC|4XX  NIU ST|WAIKIKI|District 6
09/07/2023   23:03:25  PM|TRAFFIC ARREST/CITATION|3XX  RODGERS BLVD|AIRPORT|District 5
09/07/2023   22:59:07  PM|FAMILY OFF/NEG|8910XX  PIKAIOLENA ST|NANAKULI|District 8
