10/17/2023   21:38:19  PM|NUISANCE COMPLAINT|5401XX  KAM HWY|HAUULA|District 4
10/17/2023   21:34:46  PM|PARKING VIOLATION|9802XX  KANUKU ST|AIEA|District 3
10/17/2023   21:33:36  PM|ROBBERY|4XX  ATKINSON DR|ALA MOANA|District 1
10/17/2023   21:30:19  PM|MISC SERVICE CALL|11XX  KUALA ST|PEARL CITY|District 3
10/17/2023   21:26:52  PM|ARGUMENT FAMILY|49XX  EONO WAY|IROQUOIS|District 8
10/17/2023   21:23:01  PM|ROBBERY|13XX  FARRINGTON ST|MCCULLY|District 7
10/17/2023   21:22:46  PM|TRESPASS WARN|9802XX  PALI MOMI ST|AIEA|District 3
10/17/2023   19:54:10  PM|ORDER VIOLATION|9407XX  MAKOU PL|WAIPAHU|District 3
10/17/2023   17:16:51  PM|DUI|9101XX  PAPIPI RD|EWA BEACH|District 8
