02/23/2024   21:05:30  PM|FAMILY OFF/NEG|6XX  KOKO ISLE CIR|HAWAII KAI|District 7
02/23/2024   21:01:14  PM|MISC SERVICE CALL|9810XX  MOANALUA RD|AIEA|District 3
02/23/2024   20:57:27  PM|NOISE COMPLAINT|8304XX  FARRINGTON HWY|MAKAHA|District 8
02/23/2024   20:48:33  PM|MISC SERVICE CALL|TRIPOLI ST / CORAL SEA RD|KALAELOA|District 8
02/23/2024   20:37:59  PM|MVC VEH TOWED|23XX  LILIHA ST|NUUANU|District 5
02/23/2024   20:35:52  PM|MISC PUB|8604XX  POPOHAU PL|WAIANAE|District 8
02/23/2024   19:18:46  PM|MISC PUB|11XX  WAIMANO HOME RD|PEARL CITY|District 3
02/23/2024   19:10:03  PM|MISC PUB|9211XX  ALIINUI DR|KAPOLEI|District 8
02/23/2024   19:02:01  PM|FRAUD|6702XX  KUPAHU ST|WAIALUA|District 2
