05/15/2023   22:13:18  PM|LOUD PARTY|9402XX  ANIANI PL|WAIPAHU|District 3
05/15/2023   22:05:24  PM|VEH TOWED|21XX  WILSON PL|KALIHI|District 5
05/15/2023   21:44:18  PM|ARGUMENT FAMILY|9111XX  KAILEONUI ST|EWA BEACH|District 8
05/15/2023   21:42:03  PM|SIMPLE ASSAULT|9154XX  KAPOLEI PKWY|KAPOLEI|District 8
05/15/2023   21:41:58  PM|STALLED/HAZARD VEH|KAM HWY / MEHEULA PKWY|MILILANI|District 2
05/15/2023   20:51:56  PM|AGGRAVATED ASSAULT|9209XX  MAKAKILO DR|MAKAKILO|District 8
05/15/2023   20:30:16  PM|FAMILY OFF/NEG|4501XX  LIPALU PL|KANEOHE|District 4
05/15/2023   19:52:44  PM|FOLLOW UP|19XX  OCALLAHAN ST|RADFORD T|District 5
05/15/2023   18:50:43  PM|FAMILY OFF/NEG|4100XX  HINALEA ST|WAIMANALO|District 4
05/15/2023   16:21:50  PM|AUTO THEFT|1XX  WHITE PLAINS ST|KALAELOA|District 8
