06/22/2023   02:41:19  AM|NUISANCE COMPLAINT|9510XX  AHEA ST|MILILANI|District 2
06/22/2023   02:40:48  AM|THEFT|5XX  QUEEN ST|HONOLULU|District 1
06/22/2023   02:36:18  AM|ALARM CALL|13XX  KALIHI ST|KALIHI|District 5
06/22/2023   02:21:16  AM|UNATTENDED DEATH|31XX  CASTLE ST|KAPAHULU|District 7
06/22/2023   01:35:24  AM|MISC CRIME OFFENSE|ALA WAI BLVD / KAPAHULU AVE|WAIKIKI|District 6
06/22/2023   00:54:53  AM|DUI|QUEEN ST / WARD AVE|HONOLULU|District 1
06/22/2023   00:37:33  AM|DUI|12XX  S KING ST|HONOLULU|District 1
06/22/2023   00:29:54  AM|DUI|WARD AVE / S KING ST|HONOLULU|District 1
06/22/2023   00:07:49  AM|DUI|AUAHI ST / KAMANI ST|HONOLULU|District 1
