04/14/2023   02:34:13  AM|ARGUMENT FAMILY|9410XX  KUNIA RD|KUNIA|District 2
04/14/2023   02:28:59  AM|MEDICAL ASSIST|34XX  HARDING AVE|KAIMUKI|District 7
04/14/2023   02:26:32  AM|NOISE COMPLAINT|8700XX  FARRINGTON HWY|MAILI|District 8
04/14/2023   02:04:08  AM|MISC PUB|HULALI PL / AHONUI ST|KALIHI|District 5
04/14/2023   01:38:43  AM|DUI|FORT WEAVER RD / LAULAUNUI ST|EWA BEACH|District 8
04/14/2023   01:27:45  AM|DUI|XX  H1W FWY|MAKAKILO|District 8
04/14/2023   00:45:50  AM|MVC VEH TOWED|KAPIOLANI BLVD / MCCULLY ST|MCCULLY|District 7
04/14/2023   00:31:54  AM|VEH TOWED|KEAUNUI DR / KOLOWAKA DR|EWA BEACH|District 8
04/14/2023   00:17:50  AM|MISC PUB|MAKAKILO DR / PALAILAI ST|MAKAKILO|District 8
04/13/2023   23:26:01  PM|MISC SERVICE CALL|44XX  CLAREY BLVD|MOANALUA T|District 5
