11/17/2024   06:57:23  AM|THEFT|11XX  ALA LILIKOI PL|SALT LAKE|District 5
11/17/2024   06:56:33  AM|PARKING VIOLATION|PUAILIMA ST / PUAALII ST|AIEA|District 3
11/17/2024   06:55:05  AM|MVC VEH TOWED|8501XX  PLANTATION RD|WAIANAE|District 8
11/17/2024   06:53:30  AM|CONSTRUCTION NOISE|9804XX  PONO ST|AIEA|District 3
11/17/2024   06:52:22  AM|FOLLOW UP|23XX  ALA WAI BLVD|WAIKIKI|District 6
11/17/2024   06:51:54  AM|ATTENDED DEATH|9410XX  LUMIKULA ST|WAIPIO|District 3
11/17/2024   06:44:52  AM|TRESPASS|9403XX  KAHUANANI ST|WAIPAHU|District 3
11/17/2024   06:28:59  AM|BURGLARY|1XX  N KING ST|DOWNTOWN|District 1
11/17/2024   06:07:49  AM|MVC VEH TOWED|BISHOP ST / ADAMS LN|DOWNTOWN|District 1
