04/24/2024   00:56:00  AM|TRESPASS WARN|16XX  N SCHOOL ST|KALIHI|District 5
04/24/2024   00:50:15  AM|SIMPLE ASSAULT|19XX  KAPIOLANI BLVD|MCCULLY|District 7
04/24/2024   00:47:27  AM|MISC SERVICE CALL|XX  N BERETANIA ST|DOWNTOWN|District 1
04/24/2024   00:40:25  AM|NOISE COMPLAINT|25XX  KAPIOLANI BLVD|MCCULLY|District 7
04/24/2024   00:33:26  AM|MVC|IHO PL / KAONOHI ST|AIEA|District 3
04/24/2024   00:09:14  AM|MISC CRIME OFFENSE|24XX  KALAKAUA AVE|WAIKIKI|District 6
04/23/2024   23:52:45  PM|WARRANT ARREST|11XX  WAIMANO HOME RD|PEARL CITY|District 3
04/23/2024   23:36:17  PM|TRESPASS|4XX  PIIKOI ST|ALA MOANA|District 1
04/23/2024   22:32:31  PM|MVC VEH TOWED|KALAWAO ST / KALOALUIKI ST|MANOA|District 7
