04/06/2025   02:57:40  AM|VEH TOWED|KALAIMOKU ST / KUHIO AVE|WAIKIKI|District 6
04/06/2025   02:55:59  AM|DRUGS/NARCOTICS|10XX  BISHOP ST|DOWNTOWN|District 1
04/06/2025   02:51:42  AM|ARGUMENT|6XX  SHERIDAN ST|HONOLULU|District 1
04/06/2025   02:50:49  AM|NUISANCE COMPLAINT|RIVER ST / N KUKUI ST|DOWNTOWN|District 1
04/06/2025   02:43:00  AM|ARGUMENT|9117XX  PAHEAHEA ST|EWA BEACH|District 8
04/06/2025   02:32:59  AM|MVC|MARIN ST / SMITH ST|DOWNTOWN|District 1
04/06/2025   02:20:26  AM|DUI|WARD AVE / QUEEN ST|HONOLULU|District 1
04/06/2025   00:09:09  AM|MVC VEH TOWED|1XX  NANEA AVE|WAHIAWA|District 2
04/05/2025   23:47:16  PM|FOLLOW UP|3XX  N CANE ST|WAHIAWA|District 2
