03/21/2024   22:11:32  PM|FOLLOW UP|WAIPIO POINT ACC RD / KAHUALII ST|WAIPAHU|District 3
03/21/2024   22:10:35  PM|THEFT|5505XX  KAM HWY|LAIE|District 4
03/21/2024   22:05:45  PM|ARGUMENT|14XX  ALA MOANA BLVD|ALA MOANA|District 1
03/21/2024   21:58:46  PM|PARKING VIOLATION|9XX  12TH AVE|KAIMUKI|District 7
03/21/2024   21:56:33  PM|SUSP VEH|MAKAIKAI ST / AELIKE ST|MILILANI|District 2
03/21/2024   21:50:37  PM|MVC VEH TOWED|4509XX  LIKELIKE HWY|KANEOHE|District 4
03/21/2024   21:48:56  PM|PROPERTY DAMAGE|11XX  5TH AVE|KAIMUKI|District 7
03/21/2024   21:44:03  PM|THEFT|AHUIMANU RD / MALUMALU PL|KANEOHE|District 4
03/21/2024   21:43:56  PM|NUISANCE COMPLAINT|12XX  S BERETANIA ST|HONOLULU|District 1
03/21/2024   21:32:22  PM|MVC VEH TOWED|31XX  KAUNAOA ST|KAPAHULU|District 7
03/21/2024   21:00:41  PM|SEX ASSAULT|9XX  PROSPECT ST|MAKIKI|District 1
03/21/2024   20:57:00  PM|RUNAWAY CXL|9121XX  OLD FORT WEAVER RD|EWA BEACH|District 8
03/21/2024   20:52:56  PM|THEFT|5XX  QUEEN ST|HONOLULU|District 1
03/21/2024   20:37:15  PM|MISC SERVICE CALL|11XX  KAMOKILA BLVD|KAPOLEI|District 8
03/21/2024   20:30:44  PM|VEH TOWED|HAKIMO RD / PAAKEA RD|NANAKULI|District 8
03/21/2024   20:29:27  PM|WARRANT ARREST|IWILEI RD / SUMNER ST|KALIHI|District 5
