04/18/2023   23:52:24  PM|TRESPASS WARN|43XX  WAIALAE AVE|KAHALA|District 7
04/18/2023   23:37:33  PM|MISC SERVICE CALL|8406XX  FARRINGTON HWY|MAKAHA|District 8
04/18/2023   23:31:48  PM|MISC PUB|KAHUAPAANI ST / SALT LAKE BLVD|AIEA|District 3
04/18/2023   23:22:44  PM|TRAFFIC COMPLAINT|60XX  PALI HWY|KAILUA|District 4
04/18/2023   23:11:16  PM|MISC PUB|PUU PONI ST / KAM HWY|PEARL CITY|District 3
04/18/2023   21:56:42  PM|MISC PUB|5604XX  KAM HWY|KAHUKU|District 4
04/18/2023   21:35:09  PM|FOLLOW UP|8XX  S BERETANIA ST|HONOLULU|District 1
04/18/2023   20:55:12  PM|UNATTENDED DEATH|5305XX  KAM HWY|PUNALUU|District 4
04/18/2023   19:24:51  PM|DUI|KAHUAPAANI ST / SALT LAKE BLVD|AIEA|District 3
04/18/2023   16:48:10  PM|FOLLOW UP|9205XX  AWAWA ST|MAKAKILO|District 8
