03/19/2024   01:40:17  AM|MISC PUB|5401XX  KAM HWY|HAUULA|District 4
03/19/2024   01:33:17  AM|NUISANCE COMPLAINT|20XX  BECKLEY ST|KALIHI|District 5
03/19/2024   01:24:20  AM|TRESPASS WARN|9812XX  KAAHUMANU ST|PEARL CITY|District 3
03/19/2024   01:07:54  AM|NOISE COMPLAINT|9101XX  PAPIPI RD|EWA BEACH|District 8
03/19/2024   00:48:59  AM|RUNAWAY|9404XX  KUPUOHI ST|WAIPAHU|District 3
03/19/2024   00:45:07  AM|VEH TOWED|QUEEN ST / WARD AVE|HONOLULU|District 1
03/18/2024   23:52:47  PM|VEH TOWED|LUALUALEI HMSTD RD / IHUKU ST|WAIANAE|District 8
03/18/2024   22:28:15  PM|VEH TOWED|IWILEI RD / KUWILI ST|KALIHI|District 5
03/18/2024   06:30:16  AM|THEFT|6XX  ILALO ST|KAKAAKO|District 1
