12/30/2023   01:40:57  AM|BURGLARY|10XX  UNIVERSITY AVE|MCCULLY|District 7
12/30/2023   01:30:46  AM|ARGUMENT FAMILY|22XX  KALAKAUA AVE|WAIKIKI|District 6
12/30/2023   01:28:16  AM|FOUND PROPERTY|23XX  KALAKAUA AVE|WAIKIKI|District 6
12/30/2023   01:26:17  AM|SUSP CIRCUMSTANCE|4604XX  HAIKU RD|KANEOHE|District 4
12/30/2023   01:19:23  AM|FAMILY OFF/NEG|9113XX  PUAMAEOLE ST|EWA BEACH|District 8
12/30/2023   01:08:36  AM|ANIMAL NOISE|4505XX  KIANI ST|KANEOHE|District 4
12/30/2023   01:06:23  AM|DUI|PILIOKAHI AVE / FARRINGTON HWY|NANAKULI|District 8
12/29/2023   23:00:01  PM|HARASSMENT|24XX  KALAKAUA AVE|WAIKIKI|District 6
12/29/2023   20:38:11  PM|FAMILY OFF/NEG|23XX  KALAUNU ST|KALIHI|District 5
