03/28/2023   06:24:43  AM|NUISANCE COMPLAINT|3XX  KALIHI ST|KALIHI|District 5
03/28/2023   06:19:51  AM|VEH TOWED|15XX  RYCROFT ST|HONOLULU|District 1
03/28/2023   06:19:49  AM|THEFT|12XX  AALA ST|DOWNTOWN|District 1
03/28/2023   06:06:02  AM|FRAUD|16XX  MAKALOA ST|HONOLULU|District 1
03/28/2023   06:00:54  AM|PROPERTY DAMAGE|9513XX  LEHIWA DR|MILILANI|District 2
03/28/2023   05:57:47  AM|MISC PUB|6XX  KAMOKILA BLVD|KAPOLEI|District 8
03/28/2023   05:53:35  AM|THEFT|5507XX  WAHINEPEE ST|LAIE|District 4
03/28/2023   05:50:48  AM|LOST PROPERTY|8XX  S BERETANIA ST|HONOLULU|District 1
03/28/2023   05:48:14  AM|THEFT|9154XX  KAPOLEI PKWY|KAPOLEI|District 8
