10/09/2023   23:25:00  PM|ARGUMENT|8605XX  LUALUALEI HMSTD RD|WAIANAE|District 8
10/09/2023   23:21:12  PM|MISC SERVICE CALL|9XX  LOLENA ST|KALIHI|District 5
10/09/2023   23:08:56  PM|SUSP CIRCUMSTANCE|XX  HAKUMELE PL|NUUANU|District 5
10/09/2023   23:05:37  PM|PROPERTY DAMAGE|23XX  N NIMITZ HWY|AIRPORT|District 5
10/09/2023   22:27:50  PM|FAMILY OFF/NEG|3XX  N VINEYARD BLVD|DOWNTOWN|District 1
10/09/2023   22:03:46  PM|FAMILY OFF/NEG|9801XX  LIPOA PL|AIEA|District 3
10/09/2023   21:44:16  PM|SIMPLE ASSAULT|13XX  PALI HWY|DOWNTOWN|District 1
10/09/2023   21:24:42  PM|LIQUOR LAW|PUA LN / N KUKUI ST|KALIHI|District 5
10/09/2023   19:08:28  PM|DRUGS/NARCOTICS|11XX  RIVER ST|DOWNTOWN|District 1
