03/18/2025   05:58:31  AM|AUTO THEFT RECOVERY|ALA KAPUNA / FORWARD AVE|MOANALUA V|District 5
03/18/2025   05:57:46  AM|NUISANCE COMPLAINT|XX  N NIMITZ HWY|DOWNTOWN|District 1
03/18/2025   05:51:25  AM|ARGUMENT|10XX  KAM HWY|PEARL CITY|District 3
03/18/2025   05:49:22  AM|NUISANCE COMPLAINT|9810XX  MOANALUA RD|AIEA|District 3
03/18/2025   05:47:59  AM|VEH TOWED|2XX  MAGELLAN AVE|PUNCHBOWL|District 1
03/18/2025   05:42:07  AM|NUISANCE COMPLAINT|9113XX  WAHANE ST|KAPOLEI|District 8
03/18/2025   05:42:07  AM|NUISANCE COMPLAINT|8719XX  FARRINGTON HWY|NANAKULI|District 8
03/18/2025   05:40:02  AM|SUSP CIRCUMSTANCE|6702XX  GOODALE AVE|WAIALUA|District 2
03/18/2025   05:25:55  AM|MISC CRIME OFFENSE|POHUKAINA ST / COOKE ST|HONOLULU|District 1
03/18/2025   02:39:13  AM|MISC PUB|10XX  KAKALA ST|KAPOLEI|District 8
