03/05/2023   07:56:22  AM|MVC|7XX  KAM HWY|PEARL CITY|District 3
03/05/2023   07:53:45  AM|MISC SERVICE CALL|5XX  UNIVERSITY AVE|MCCULLY|District 7
03/05/2023   07:52:32  AM|MISC PUB|16XX  PIIKOI ST|MAKIKI|District 1
03/05/2023   07:51:32  AM|NUISANCE COMPLAINT|15XX  ALEXANDER ST|MANOA|District 7
03/05/2023   07:50:55  AM|PARKING VIOLATION|9115XX  RENTON RD|EWA BEACH|District 8
03/05/2023   07:34:24  AM|PARKING VIOLATION|9110XX  MAKAALOA ST|EWA BEACH|District 8
03/05/2023   07:33:18  AM|AUTO THEFT|13XX  PUNAHOU ST|MCCULLY|District 7
03/05/2023   07:28:35  AM|STALLED/HAZARD VEH|13XX  KALIHI ST|KALIHI|District 5
03/04/2023   22:40:09  PM|AGGRAVATED ASSAULT|3XX  N NIMITZ HWY|KALIHI|District 5
