11/19/2023   02:12:47  AM|MVC|H2N LEILEHUA GOLF COURSE OP|MILILANI|District 2
11/19/2023   02:12:02  AM|ARGUMENT|4106XX  BELL ST|WAIMANALO|District 4
11/19/2023   02:07:36  AM|TRESPASS|3XX  KAPAHULU AVE|WAIKIKI|District 6
11/19/2023   02:03:21  AM|UEMV|9XX  KEEAUMOKU ST|HONOLULU|District 1
11/19/2023   01:51:34  AM|ICF/SCF|S BERETANIA ST / ALAPAI ST|HONOLULU|District 1
11/19/2023   01:40:58  AM|FOLLOW UP|13XX  PUNCHBOWL ST|HONOLULU|District 1
11/19/2023   01:16:15  AM|AGGRAVATED ASSAULT|8701XX  MILIKAMI ST|MAILI|District 8
11/19/2023   00:48:11  AM|AGGRAVATED ASSAULT|9121XX  FORT WEAVER RD|EWA BEACH|District 8
11/19/2023   00:31:30  AM|MVC VEH TOWED|2XX  H1E FWY|DOWNTOWN|District 1
