05/05/2024   19:13:04  PM|MVC|24XX  N SCHOOL ST|KALIHI|District 5
05/05/2024   19:11:41  PM|ALARM CALL|9114XX  MIULA ST|EWA BEACH|District 8
05/05/2024   19:10:39  PM|SIMPLE ASSAULT|8700XX  FARRINGTON HWY|MAILI|District 8
05/05/2024   19:04:35  PM|AUTO THEFT|9812XX  KAAHUMANU ST|PEARL CITY|District 3
05/05/2024   19:02:38  PM|HARASSMENT|9115XX  RENTON RD|EWA BEACH|District 8
05/05/2024   18:51:05  PM|MISC PUB|21XX  ALA WAI BLVD|WAIKIKI|District 6
05/05/2024   18:47:29  PM|THEFT|14XX  ALA MOANA BLVD|ALA MOANA|District 1
05/05/2024   18:11:24  PM|AUTO THEFT|66XX  105TH ST|IROQUOIS|District 8
05/05/2024   17:57:18  PM|TRESPASS|24XX  KALAKAUA AVE|WAIKIKI|District 6
05/05/2024   12:01:27  PM|THREATENING|9102XX  KAIMELE PL|EWA BEACH|District 8
