11/14/2023   04:43:14  AM|PARKING VIOLATION|9806XX  MOANALUA LOOP|AIEA|District 3
11/14/2023   04:41:44  AM|NUISANCE COMPLAINT|12XX  S KING ST|HONOLULU|District 1
11/14/2023   04:40:36  AM|TRAFFIC INCIDENT|KAHAUIKI ST / MIDDLE ST|KALIHI|District 5
11/14/2023   04:23:14  AM|MISC SERVICE CALL|XX  N NIMITZ HWY|DOWNTOWN|District 1
11/14/2023   03:28:26  AM|BURGLARY|XX  KUKUI ST|WAHIAWA|District 2
11/14/2023   01:56:38  AM|AGGRAVATED ASSAULT|XX  N HOTEL ST|DOWNTOWN|District 1
11/14/2023   01:20:16  AM|DRUGS/NARCOTICS|CORAL SEA RD / INDEPENDENCE ST|KALAELOA|District 8
11/14/2023   01:13:46  AM|MVC VEH TOWED|13XX  N SCHOOL ST|KALIHI|District 5
11/14/2023   00:44:40  AM|THEFT|6XX  CALIFORNIA AVE|WAHIAWA|District 2
11/13/2023   23:02:41  PM|MISC PUB|26XX  KALIHI ST|KALIHI|District 5
