12/26/2023   01:04:52  AM|LOUD PARTY|7XX  PALANI AVE|KAPAHULU|District 7
12/26/2023   00:44:31  AM|MISC SERVICE CALL|9203XX  LAALOA ST|KAPOLEI|District 8
12/26/2023   00:33:10  AM|SUSP CIRCUMSTANCE|7XX  GULICK AVE|KALIHI|District 5
12/26/2023   00:22:03  AM|FAMILY OFF/NEG|9110XX  KAUPEA ST|KAPOLEI|District 8
12/26/2023   00:14:54  AM|MISC PUB|XX  H1W FWY|WAIPIO|District 3
12/25/2023   23:41:17  PM|THREATENING|14XX  KEEAUMOKU ST|MAKIKI|District 1
12/25/2023   23:16:14  PM|FIREWORKS VIOLATION|SALT LAKE BLVD / ALA LILIKOI ST|ALIAMANU|District 5
12/25/2023   19:15:10  PM|AGGRAVATED ASSAULT|8716XX  FARRINGTON HWY|NANAKULI|District 8
12/25/2023   10:41:59  AM|WARRANT ARREST|13XX  PUNCHBOWL ST|HONOLULU|District 1
