08/02/2024   01:26:32  AM|MEDICAL ASSIST|WAIALUA BEACH RD / KAHAONE LOOP|MOKULEIA|District 2
08/02/2024   01:20:34  AM|ARGUMENT|9110XX  KUIPUAKUKUI ST|KAPOLEI|District 8
08/02/2024   01:07:59  AM|MISC SERVICE CALL|9110XX  KEKUILANI LOOP|KAPOLEI|District 8
08/02/2024   00:16:41  AM|NUISANCE COMPLAINT|9154XX  KAPOLEI PKWY|KAPOLEI|District 8
08/02/2024   00:15:33  AM|DUI|KANEOHE BAY DR / NANAMOANA ST|KANEOHE|District 4
08/01/2024   22:11:24  PM|RAPE|8603XX  KAUAOPUU ST|WAIANAE|District 8
08/01/2024   20:37:38  PM|LIC PLATE THEFT CXL|9400XX  FARRINGTON HWY|WAIPAHU|District 3
08/01/2024   20:33:48  PM|HARASSMENT|9XX  LUEHU ST|PEARL CITY|District 3
08/01/2024   15:07:34  PM|SIMPLE ASSAULT|8506XX  FARRINGTON HWY|WAIANAE|District 8
