01/26/2025   07:07:33  AM|UEMV|2XX  QUEEN EMMA SQ|DOWNTOWN|District 1
01/26/2025   07:06:43  AM|MISC PUB|8402XX  ALA NAAUAO PL|MAKAHA|District 8
01/26/2025   07:00:39  AM|NUISANCE COMPLAINT|GLENMONGER ST / POKAI BAY ST|WAIANAE|District 8
01/26/2025   06:59:43  AM|PROPERTY DAMAGE|4111XX  KALANIANAOLE HWY|WAIMANALO|District 4
01/26/2025   06:58:10  AM|PARKING VIOLATION|12XX  MOANALUALANI PL|MOANALUA V|District 5
01/26/2025   06:55:50  AM|MISC SERVICE CALL|8719XX  PAKEKE ST|MAILI|District 8
01/26/2025   06:51:39  AM|THEFT|68XX  NIMITZ RD|MILLER PK|District 5
01/26/2025   06:46:30  AM|MISC SERVICE CALL|8407XX  MANUKU ST|MAKAHA|District 8
01/26/2025   06:30:59  AM|AUTO THEFT|8707XX  ILIILI RD|NANAKULI|District 8
01/26/2025   04:31:29  AM|MVC|KAUKONAHUA RD / FARRINGTON HWY|WAIALUA|District 2
