03/28/2025   05:28:49  AM|THEFT|19XX  PAULA DR|KAIMUKI|District 7
03/28/2025   05:26:35  AM|AUTO THEFT RECOVERY|FUNSTON RD / STREAM RD|SHAFT FLAT|District 5
03/28/2025   05:19:09  AM|UEMV|9260XX  NEMO ST|MAKAKILO|District 8
03/28/2025   05:12:58  AM|NUISANCE COMPLAINT|1XX  N PAUAHI ST|DOWNTOWN|District 1
03/28/2025   05:04:59  AM|MVC VEH TOWED|2XX  H1E FWY|DOWNTOWN|District 1
03/28/2025   05:02:06  AM|MVC|KALAKAUA AVE / YOUNG ST|HONOLULU|District 1
03/28/2025   04:42:25  AM|DEFIB CALL|9106XX  KUMUHONUA ST|EWA BEACH|District 8
03/27/2025   21:35:32  PM|FAMILY OFF/NEG|1XX  AHUNA CT|HELEMANO|District 2
03/27/2025   19:13:14  PM|THREATENING|1XX  OHAI ST|WAHIAWA|District 2
