12/18/2023   07:13:44  AM|HAZARDOUS DRIVER|XX  H1W FWY|WAIPAHU|District 3
12/18/2023   07:11:42  AM|PARKING VIOLATION|14XX  KEALIA DR|KALIHI|District 5
12/18/2023   06:57:59  AM|VEH TOWED|3XX  KAPAHULU AVE|WAIKIKI|District 6
12/18/2023   06:54:42  AM|ORDER VIOLATION|19XX  KALIHI ST|KALIHI|District 5
12/18/2023   06:48:14  AM|VEH TOWED|6XX  MAPUNAPUNA ST|MAPUNAPUNA|District 5
12/18/2023   06:46:02  AM|VEH TOWED|WAIKALANI DR / KAM HWY|MILILANI|District 2
12/18/2023   06:05:25  AM|THEFT|33XX  STOMMES PL|HOKULANI|District 5
12/18/2023   05:52:17  AM|MISC PUB|N KING ST / KALIHI ST|KALIHI|District 5
12/18/2023   05:41:18  AM|THEFT|20XX  KALIA RD|WAIKIKI|District 6
