02/21/2025   03:54:45  AM|MISC SERVICE CALL|11XX  LOWELLA AVE|PC PEN|District 3
02/21/2025   03:28:57  AM|VEH TOWED|UNIVERSITY AVE / HIHIWAI ST|MCCULLY|District 7
02/21/2025   03:24:16  AM|VEH TOWED|KALAIMOKU ST / KUHIO AVE|WAIKIKI|District 6
02/21/2025   01:57:11  AM|WARRANT ARREST|KAPIOLANI BLVD / ATKINSON DR|HONOLULU|District 1
02/21/2025   01:50:45  AM|MISC CRIME OFFENSE|15XX  THURSTON AVE|MAKIKI|District 1
02/21/2025   00:18:06  AM|DUI|HAMAKUA DR / AOLOA ST|KAILUA|District 4
02/20/2025   23:41:50  PM|RUNAWAY CXL|1XX  PAOA PL|FT DERUSSY|District 6
02/20/2025   21:44:51  PM|MISC CRIME OFFENSE|21XX  BOOTH RD|PUNCHBOWL|District 1
02/20/2025   13:35:43  PM|THEFT|16XX  KANUNU ST|HONOLULU|District 1
