01/25/2023   23:58:51  PM|THREATENING|9800XX  KAM HWY|AIEA|District 3
01/25/2023   23:57:41  PM|AUTO THEFT RECOVERY|12XX  S BERETANIA ST|HONOLULU|District 1
01/25/2023   23:51:12  PM|MVC|DIAMOND HEAD RD / TROUSSEAU ST|KAPAHULU|District 7
01/25/2023   23:28:34  PM|MISC PUB|MAKAKILO DR / PALAILAI ST|MAKAKILO|District 8
01/25/2023   22:50:32  PM|DUI|KAPIOLANI BLVD / KAMAKEE ST|HONOLULU|District 1
01/25/2023   22:44:26  PM|INDECENT EXPOSURE|17XX  KAPIOLANI BLVD|HONOLULU|District 1
01/25/2023   22:35:58  PM|UEMV|KAIOLENA DR / MOKULUA DR|KAILUA|District 4
01/25/2023   19:48:11  PM|FAMILY OFF/NEG|13XX  MOKULUA DR|KAILUA|District 4
01/25/2023   19:21:22  PM|VEH TOWED|9XX  3RD AVE|KAIMUKI|District 7
