05/27/2024   01:57:53  AM|TRESPASS WARN|24XX  KUHIO AVE|WAIKIKI|District 6
05/27/2024   01:45:41  AM|ARGUMENT FAMILY|4112XX  KALANIANAOLE HWY|WAIMANALO|District 4
05/27/2024   01:45:14  AM|MEDICAL ASSIST|15XX  KALAKAUA AVE|HONOLULU|District 1
05/27/2024   01:43:33  AM|VEH TOWED|H2N LEILEHUA GOLF COURSE OP|MILILANI|District 2
05/27/2024   01:39:42  AM|NUISANCE COMPLAINT|4700XX  LAENANI DR|KANEOHE|District 4
05/27/2024   01:28:43  AM|MISC SERVICE CALL|4702XX  IUIU ST|KANEOHE|District 4
05/27/2024   01:14:52  AM|SIMPLE ASSAULT|8XX  KAM HWY|PEARL CITY|District 3
05/27/2024   00:51:56  AM|FOLLOW UP|9810XX  MOANALUA RD|AIEA|District 3
05/26/2024   22:43:58  PM|DISORDERLY CONDUCT|11XX  AUAHI ST|HONOLULU|District 1
05/26/2024   21:35:56  PM|VEH TOWED|RIVER ST / N PAUAHI ST|DOWNTOWN|District 1
