04/28/2024   01:11:36  AM|PARKING VIOLATION|9110XX  KAI ANAE ST|EWA BEACH|District 8
04/28/2024   01:09:27  AM|SUSP CIRCUMSTANCE|5900XX  HUELO ST|SUNSET|District 2
04/28/2024   01:09:09  AM|FOLLOW UP|X JARRETT WHITE RD|TRIPLER|District 5
04/28/2024   01:04:30  AM|VEH TOWED|26XX  KALAKAUA AVE|WAIKIKI|District 6
04/28/2024   00:48:22  AM|SUSP CIRCUMSTANCE|3XX  N KUAKINI ST|NUUANU|District 5
04/28/2024   00:36:10  AM|MVC VEH TOWED|XX  H2N FWY|MILILANI|District 2
04/28/2024   00:30:59  AM|MISC PUB|KAM IV RD / LINAPUNI ST|KALIHI|District 5
04/27/2024   23:50:10  PM|AGGRAVATED ASSAULT|13XX  PUNCHBOWL ST|HONOLULU|District 1
04/27/2024   19:55:04  PM|THEFT|47XX  BOUGAINVILLE DR|MOANALUA|District 5
04/27/2024   19:23:34  PM|THREATENING|9414XX  LANIKUHANA AVE|MILILANI|District 2
