05/11/2023   22:11:19  PM|SUSP CIRCUMSTANCE|8601XX  FARRINGTON HWY|WAIANAE|District 8
05/11/2023   22:08:32  PM|NOISE COMPLAINT|9907XX  MEAALA ST|AIEA|District 3
05/11/2023   22:07:32  PM|PARKING VIOLATION|36XX  ALIAMANU ST|ALIAMANU|District 5
05/11/2023   21:34:50  PM|RUNAWAY|9402XX  LEONUI ST|WAIPAHU|District 3
05/11/2023   21:30:22  PM|ATTEMPTED SUICIDE|20XX  KALIA RD|WAIKIKI|District 6
05/11/2023   21:19:54  PM|PROPERTY DAMAGE|9800XX  KAM HWY|AIEA|District 3
05/11/2023   21:10:57  PM|ARGUMENT|9XX  AHUA ST|MAPUNAPUNA|District 5
05/11/2023   19:34:33  PM|MISC PUB|KAHUAPAANI ST / SALT LAKE BLVD|AIEA|District 3
05/11/2023   19:21:11  PM|FOLLOW UP|7XX  MURRAY DR|RADFORD T|District 5
05/11/2023   18:12:38  PM|FOLLOW UP|11XX  8TH AVE|KAIMUKI|District 7
