09/08/2024   05:48:23  AM|THEFT|6606XX  KAM HWY|HALEIWA|District 2
09/08/2024   05:37:24  AM|VEH TOWED|4XX  NOHONANI ST|WAIKIKI|District 6
09/08/2024   05:01:46  AM|RAPE|ALAKEA ST / S BERETANIA ST|DOWNTOWN|District 1
09/08/2024   04:57:35  AM|DUI|PIIKOI ST / KINAU ST|HONOLULU|District 1
09/08/2024   04:34:30  AM|MVC VEH TOWED|NUUANU AVE / N SCHOOL ST|NUUANU|District 5
09/08/2024   04:17:38  AM|FAMILY OFF/NEG|4XX  BOTHNE CT|HALE MOKU|District 5
09/08/2024   04:12:37  AM|UNATTENDED DEATH|17XX  PENSACOLA ST|MAKIKI|District 1
09/08/2024   03:39:57  AM|FAMILY OFF/NEG|8700XX  FARRINGTON HWY|MAILI|District 8
09/08/2024   02:54:41  AM|FAMILY OFF/NEG|14XX  ALA IOLANI|MOANALUA V|District 5
