05/06/2023   06:28:29  AM|MVC|5XX  LUNALILO HOME RD|HAWAII KAI|District 7
05/06/2023   06:28:09  AM|ESCAPEE CXL|YOUNG ST / PENSACOLA ST|HONOLULU|District 1
05/06/2023   06:27:02  AM|ANIMAL NOISE|9404XX  KIILANI ST|MILILANI|District 2
05/06/2023   06:19:15  AM|PROPERTY DAMAGE|15XX  KAPIOLANI BLVD|ALA MOANA|District 1
05/06/2023   06:14:17  AM|ROBBERY|2XX  OHUA AVE|WAIKIKI|District 6
05/06/2023   06:04:15  AM|FAMILY OFF/NEG|8507XX  PILIUKA PL|WAIANAE|District 8
05/06/2023   05:10:25  AM|MVC VEH TOWED|6100XX  KAM HWY|HALEIWA|District 2
05/06/2023   04:33:44  AM|FAMILY OFF/NEG|8701XX  HELELUA ST|NANAKULI|District 8
05/06/2023   02:47:45  AM|VEH TOWED|KAPAHULU AVE / KUHIO AVE|WAIKIKI|District 6
