11/12/2023   03:23:30  AM|MVC|WILSON TUNNEL INSIDE N|KANEOHE|District 4
11/12/2023   03:18:30  AM|ARGUMENT|21XX  KAUMUALII ST|KALIHI|District 5
11/12/2023   03:01:28  AM|MISC SERVICE CALL|5XX  WAIAKAMILO RD|KALIHI|District 5
11/12/2023   02:56:18  AM|MISC PUB|KOKEA ST / N KING ST|KALIHI|District 5
11/12/2023   02:56:10  AM|ARGUMENT|9510XX  HAKALA ST|MILILANI|District 2
11/12/2023   02:53:05  AM|FOLLOW UP|8XX  S KING ST|HONOLULU|District 1
11/12/2023   02:37:38  AM|VEH TOWED|29XX  KALAKAUA AVE|WAIKIKI|District 6
11/12/2023   02:34:46  AM|TRAFFIC COMPLAINT|33XX  TANTALUS DR|MAKIKI|District 1
11/12/2023   02:00:35  AM|VEH TOWED|PAKI AVE / KALAKAUA AVE|WAIKIKI|District 6
