06/01/2023   05:57:16  AM|PARKING VIOLATION|9501XX  WAIMAKUA DR|MILILANI|District 2
06/01/2023   05:53:56  AM|NUISANCE COMPLAINT|17XX  CITRON ST|MCCULLY|District 1
06/01/2023   05:45:58  AM|MEDICAL ASSIST|4601XX  HAIKU RD|KANEOHE|District 4
06/01/2023   05:29:44  AM|MISC SERVICE CALL|8503XX  ALOHIKI ST|WAIANAE|District 8
06/01/2023   05:00:24  AM|MISC PUB|KAMAKEE ST / KONA ST|HONOLULU|District 1
06/01/2023   04:54:24  AM|DISORDERLY CONDUCT|12XX  WILDER AVE|MAKIKI|District 1
06/01/2023   04:24:14  AM|ATTENDED DEATH|6XX  IWILEI RD|KALIHI|District 5
06/01/2023   03:53:30  AM|FOLLOW UP|9102XX  KUHELA ST|KAPOLEI|District 8
06/01/2023   03:40:00  AM|MISC PUB|9106XX  POHAKUPUNA RD|EWA BEACH|District 8
