04/11/2025   07:07:26  AM|VEH TOWED|9106XX  FARRINGTON HWY|KAPOLEI|District 8
04/11/2025   07:04:15  AM|PARKING VIOLATION|19XX  YOUNG ST|MCCULLY|District 7
04/11/2025   07:01:16  AM|FOLLOW UP|7XX  S KING ST|HONOLULU|District 1
04/11/2025   06:58:29  AM|MVC|19XX  WILIKINA DR|WAHIAWA|District 2
04/11/2025   06:45:36  AM|LOST PROPERTY|3XX  RODGERS BLVD|AIRPORT|District 5
04/11/2025   06:43:20  AM|PROPERTY DAMAGE|DOWSETT ONTO PALI / HOMELANI PL|NUUANU|District 5
04/11/2025   06:31:18  AM|LOST PROPERTY|3XX  RODGERS BLVD|AIRPORT|District 5
04/11/2025   06:10:33  AM|SEX ASSAULT|11XX  KINAU ST|HONOLULU|District 1
04/11/2025   05:43:20  AM|FOLLOW UP|1XX  LEHUA ST|WAHIAWA|District 2
