09/24/2023   18:26:19  PM|HARASSMENT|2XX  LEWERS ST|WAIKIKI|District 6
09/24/2023   18:22:02  PM|MISC SERVICE CALL|10XX  MIKOLE ST|KALIHI|District 5
09/24/2023   18:20:21  PM|MISC SERVICE CALL|9104XX  PUPU ST|EWA BEACH|District 8
09/24/2023   18:12:06  PM|ORDER VIOLATION|11XX  LYMAN RD|SCHOFIELD|District 2
09/24/2023   18:10:09  PM|MVC VEH TOWED|YOUNG ST / KEEAUMOKU ST|HONOLULU|District 1
09/24/2023   18:00:43  PM|DUST/ECOL NUISANCE|5901XX  KAM HWY|SUNSET|District 2
09/24/2023   17:56:48  PM|FAMILY OFF/NEG|8XX  PUUHALE RD|KALIHI|District 5
09/24/2023   17:51:08  PM|MVC|KAMOKILA BLVD / WAKEA ST|KAPOLEI|District 8
09/24/2023   17:23:37  PM|UEMV|41XX  NUUANU PALI DR|NUUANU|District 5
09/24/2023   16:25:06  PM|FIRE CALL|6803XX  FARRINGTON HWY|MOKULEIA|District 2
