05/08/2023   03:06:55  AM|FOLLOW UP|13XX  PUNCHBOWL ST|HONOLULU|District 1
05/08/2023   03:02:44  AM|ARGUMENT|8701XX  MAMOALII PL|MAILI|District 8
05/08/2023   02:45:15  AM|NOISE COMPLAINT|33XX  FRANCIS ST|KAPAHULU|District 7
05/08/2023   02:42:01  AM|UNATTENDED DEATH|6XX  NALANUI ST|NUUANU|District 5
05/08/2023   02:41:33  AM|ARGUMENT FAMILY|26XX  KILIHAU ST|MAPUNAPUNA|District 5
05/08/2023   01:58:05  AM|MVC VEH TOWED|16XX  BERTRAM ST|KAIMUKI|District 7
05/08/2023   01:41:04  AM|VEH TOWED|KAM HWY / WAIHEE RD|KAHALUU|District 4
05/08/2023   01:40:04  AM|WARRANT ARREST|MOKAPU BLVD / ILIKUPONO ST|KAILUA|District 4
05/07/2023   23:04:16  PM|VEH TOWED|GULICK AVE / WATERHOUSE ST|KALIHI|District 5
