02/22/2023   05:42:04  AM|ARGUMENT|16XX  NUUANU AVE|NUUANU|District 5
02/22/2023   05:36:58  AM|MVC|KAHEKILI HWY / KAHUHIPA ST|KANEOHE|District 4
02/22/2023   05:30:50  AM|MVC|CALIFORNIA AVE / CIRCLE DR|WAHIAWA|District 2
02/22/2023   05:06:24  AM|DISORDERLY CONDUCT|13XX  PALI HWY|DOWNTOWN|District 1
02/22/2023   04:52:10  AM|FAMILY OFF/NEG|9508XX  MAKAUNULAU ST|MILILANI|District 2
02/22/2023   04:46:45  AM|AUTO THEFT RECOVERY|4604XX  KAM HWY|KANEOHE|District 4
02/22/2023   04:31:09  AM|TRAFFIC COMPLAINT|MELEKULA RD / AHUIMANU RD|KANEOHE|District 4
02/22/2023   03:30:07  AM|MISC PUB|LILIPUNA RD / HAUNANI PL|KANEOHE|District 4
02/22/2023   03:17:09  AM|FAMILY OFF/NEG|8407XX  HANALEI ST|MAKAHA|District 8
02/21/2023   21:43:22  PM|FAMILY OFF/NEG|6XX  MALUNIU AVE|KAILUA|District 4
