03/23/2024   00:22:39  AM|TRAFFIC STOP|H3E MOKAPU SADDLE UP|KAILUA|District 4
03/23/2024   00:22:29  AM|ARGUMENT FAMILY|9409XX  HANAUNA ST|WAIPAHU|District 3
03/23/2024   00:19:53  AM|BURGLARY|44XX  MALAAI ST|AIEA|District 3
03/23/2024   00:09:27  AM|MISC PUB|KAM HWY / HALE HALAWAI DR|WAIPIO|District 3
03/22/2024   23:55:24  PM|FOLLOW UP|9803XX  KAM HWY|AIEA|District 3
03/22/2024   23:19:26  PM|PROPERTY DAMAGE|13XX  KAPIOLANI BLVD|HONOLULU|District 1
03/22/2024   23:05:51  PM|WARRANT ARREST|15XX  LAUMAILE ST|KALIHI|District 5
03/22/2024   22:52:21  PM|DUI|7XX  KALIHI ST|KALIHI|District 5
03/22/2024   22:14:04  PM|WARRANT ARREST|8600XX  HOAHA ST|WAIANAE|District 8
03/22/2024   20:42:54  PM|MVC VEH TOWED|1XX  H1W FWY|AIRPORT|District 5
