12/28/2023   01:11:54  AM|UEMV|14XX  AHONUI ST|KALIHI|District 5
12/28/2023   01:11:40  AM|FRAUD|9410XX  LELEPUA PL|WAIPIO|District 3
12/28/2023   01:09:48  AM|MISC SERVICE CALL|9900XX  KAUHALE ST|AIEA|District 3
12/28/2023   01:00:30  AM|ARGUMENT|4700XX  KAM HWY|KANEOHE|District 4
12/28/2023   00:54:07  AM|DEFIB CALL|2XX  HUALI ST|PUNCHBOWL|District 1
12/28/2023   00:34:59  AM|UNATTENDED DEATH|9110XX  KAIHANUPA ST|EWA BEACH|District 8
12/28/2023   00:29:29  AM|MVC VEH TOWED|S VINEYARD BLVD / QUEEN EMMA ST|DOWNTOWN|District 1
12/28/2023   00:15:27  AM|RUNAWAY|9135XX  KAULUAKOKO ST|EWA BEACH|District 8
12/27/2023   23:14:39  PM|FAMILY OFF/NEG|15XX  S KING ST|MCCULLY|District 1
