08/14/2023   01:07:53  AM|MISC SERVICE CALL|7XX  KAM HWY|PEARL CITY|District 3
08/14/2023   01:04:35  AM|DROPPED CALL|24XX  N NIMITZ HWY|AIRPORT|District 5
08/14/2023   01:03:54  AM|FOLLOW UP|4506XX  UHILEHUA ST|KANEOHE|District 4
08/14/2023   00:56:02  AM|VEH TOWED|18XX  KAHANU ST|KALIHI|District 5
08/14/2023   00:48:19  AM|AUTO THEFT|4704XX  APOALEWA PL|KANEOHE|District 4
08/14/2023   00:46:56  AM|MISC PUB|24XX  KALAKAUA AVE|WAIKIKI|District 6
08/14/2023   00:21:32  AM|MISC PUB|4509XX  KAM HWY|KANEOHE|District 4
08/13/2023   21:21:55  PM|SIMPLE ASSAULT|4705XX  KAM HWY|KANEOHE|District 4
08/13/2023   21:13:26  PM|MVC VEH TOWED|NIMITZ ONTO H1W B563|KALIHI|District 5
