02/07/2024   03:13:06  AM|MISC SERVICE CALL|8XX  N KALAHEO AVE|KAILUA|District 4
02/07/2024   03:07:41  AM|WARRANT ARREST|AWANEI ST / AWALAU ST|WAIPAHU|District 3
02/07/2024   03:04:15  AM|AUTO THEFT RECOVERY|WAIPAHU ST / MALAKEKE ST|WAIPAHU|District 3
02/07/2024   03:03:50  AM|FOLLOW UP|8909XX  HALEAKALA AVE|NANAKULI|District 8
02/07/2024   03:02:02  AM|UEMV|KAMAAINA DR / KAMAAINA PL|NUUANU|District 5
02/07/2024   01:38:11  AM|VEH TOWED|47XX  REEVES LOOP|MOANALUA T|District 5
02/07/2024   01:35:20  AM|ORDER VIOLATION|9901XX  KOHOMUA ST|AIEA|District 3
02/07/2024   01:23:32  AM|VEH TOWED|FORT WEAVER RD / RENTON RD|EWA BEACH|District 8
02/06/2024   23:32:46  PM|WARRANT ARREST|FORT WEAVER RD / PAPIPI RD|EWA BEACH|District 8
