08/05/2024   23:11:20  PM|THEFT|5XX  N KING ST|KALIHI|District 5
08/05/2024   23:09:55  PM|TRAFFIC COMPLAINT|2XX  H1E FWY|DOWNTOWN|District 1
08/05/2024   22:59:48  PM|LIQUOR LAW|KALAKAUA AVE / PAOAKALANI AVE|WAIKIKI|District 6
08/05/2024   22:54:58  PM|LOUD PARTY|XX  DOLE RD|WAHIAWA|District 2
08/05/2024   22:52:05  PM|MISC SERVICE CALL|23XX  KUHIO AVE|WAIKIKI|District 6
08/05/2024   22:32:24  PM|MVC|ROYAL HAWAIIAN AVE / DON HO LN|WAIKIKI|District 6
08/05/2024   22:16:34  PM|MVC|2XX  H1E FWY|HONOLULU|District 1
08/05/2024   22:02:23  PM|WARRANT ARREST|11XX  KUALA ST|PEARL CITY|District 3
08/05/2024   22:02:22  PM|VEH TOWED|11XX  LYMAN RD|SCHOFIELD|District 2
08/05/2024   19:35:28  PM|FAMILY OFF/NEG|3XX  OHAI PL|WAHIAWA|District 2
08/05/2024   19:16:36  PM|FAMILY OFF/NEG|9106XX  KUILIOLOA PL|EWA BEACH|District 8
08/05/2024   17:56:15  PM|UNATTENDED DEATH|8407XX  MANUKU ST|MAKAHA|District 8
08/05/2024   15:15:26  PM|VEH TOWED|LAUPAPA ST / KEENA PL|EWA BEACH|District 8
