02/05/2025   23:57:11  PM|ARGUMENT|6600XX  WAIALUA BEACH RD|HALEIWA|District 2
02/05/2025   23:35:00  PM|AUTO THEFT RECOVERY|15XX  S KING ST|HONOLULU|District 1
02/05/2025   23:34:52  PM|HARASSMENT|9115XX  RENTON RD|EWA BEACH|District 8
02/05/2025   23:25:33  PM|MISC PUB|15XX  RYCROFT ST|HONOLULU|District 1
02/05/2025   23:02:43  PM|BURGLARY|7XX  KAILUA RD|KAILUA|District 4
02/05/2025   22:32:46  PM|PROPERTY DAMAGE|7XX  KOPKE ST|KALIHI|District 5
02/05/2025   22:16:02  PM|RUNAWAY CXL|5401XX  KAM HWY|HAUULA|District 4
02/05/2025   21:49:32  PM|LIQUOR LAW|7XX  KAIWIULA ST|KALIHI|District 5
02/05/2025   21:49:26  PM|DUI|KUALAKAI PKWY / HOOMOHALA AVE|KAPOLEI|District 8
02/05/2025   21:03:10  PM|TRESPASS WARN|9106XX  FARRINGTON HWY|KAPOLEI|District 8
