04/15/2024   02:53:44  AM|ICF/SCF|9410XX  KEAHUA LOOP|WAIPAHU|District 3
04/15/2024   02:48:16  AM|MVC|4XX  KAIOLU ST|WAIKIKI|District 6
04/15/2024   02:27:06  AM|ORDER VIOLATION|6XX  SHERIDAN ST|HONOLULU|District 1
04/15/2024   02:21:49  AM|FAMILY OFF/NEG|8502XX  ALA AKAU ST|WAIANAE|District 8
04/15/2024   02:18:22  AM|WARRANT ARREST|8701XX  HILA ST|MAILI|District 8
04/15/2024   02:15:39  AM|MISC PUB|LAKONA ST / KEAHUMOA PKWY|EWA BEACH|District 8
04/15/2024   01:11:40  AM|FOLLOW UP|8505XX  PLANTATION RD|WAIANAE|District 8
04/15/2024   00:37:12  AM|TRESPASS WARN|13XX  PUNCHBOWL ST|HONOLULU|District 1
04/14/2024   23:58:33  PM|ROBBERY|5402XX  KAM HWY|HAUULA|District 4
