11/15/2024   02:12:27  AM|AGGRAVATED ASSAULT|7XX  AMANA ST|HONOLULU|District 1
11/15/2024   02:02:34  AM|FAMILY OFF/NEG|9800XX  KAM HWY|AIEA|District 3
11/15/2024   01:48:01  AM|TRESPASS WARN|15XX  LINAPUNI ST|KALIHI|District 5
11/15/2024   01:44:55  AM|MEDICAL ASSIST|10XX  KAM HWY|PEARL CITY|District 3
11/15/2024   01:39:41  AM|PARKING VIOLATION|22XX  LILIHA ST|NUUANU|District 5
11/15/2024   01:38:00  AM|VEH TOWED|24XX  TUSITALA ST|WAIKIKI|District 6
11/15/2024   01:15:24  AM|MVC VEH TOWED|51XX  PALI HWY|NUUANU|District 5
11/15/2024   00:53:22  AM|FAMILY OFF/NEG|4XX  FUNSTON LOOP|SHAFT FLAT|District 5
11/15/2024   00:34:01  AM|SIMPLE ASSAULT|10XX  KAM HWY|PEARL CITY|District 3
11/14/2024   23:20:50  PM|DUI|KAILUA RD / HINANO WAY PRIVATE RD|KAILUA|District 4
