09/23/2024   02:14:01  AM|FIRE CALL|5705XX  KAM HWY|KAHUKU|District 4
09/23/2024   02:07:06  AM|DRUGS/NARCOTICS|9409XX  FARRINGTON HWY|WAIPAHU|District 3
09/23/2024   02:03:32  AM|MVC|KUALAKAI PKWY / HOOMOHALA ST|KAPOLEI|District 8
09/23/2024   01:56:57  AM|WEAPONS|9XX  KEKAULIKE ST|DOWNTOWN|District 1
09/23/2024   01:18:14  AM|MVC VEH TOWED|17XX  HOOHULU ST|PEARL CITY|District 3
09/22/2024   23:03:03  PM|TRESPASS|9154XX  KAPOLEI PKWY|KAPOLEI|District 8
09/22/2024   22:09:01  PM|FAMILY OFF/NEG|9501XX  MOENAMANU ST|MILILANI|District 2
09/22/2024   17:54:22  PM|DRUGS/NARCOTICS|PROSPECT ST / HUALI ST|PUNCHBOWL|District 1
09/22/2024   17:33:25  PM|FAMILY OFF/NEG|9500XX  WAIKALANI DR|MILILANI|District 2
