02/20/2023   22:13:21  PM|THEFT|1XX  KAIULANI AVE|WAIKIKI|District 6
02/20/2023   22:11:13  PM|SUSP CIRCUMSTANCE|6702XX  KUKEA CIR|MOKULEIA|District 2
02/20/2023   22:08:40  PM|HARASSMENT|9409XX  HANAUNA ST|WAIPAHU|District 3
02/20/2023   22:04:55  PM|ORDER VIOLATION|4112XX  KALANIANAOLE HWY|WAIMANALO|District 4
02/20/2023   22:01:08  PM|MEDICAL ASSIST|5XX  FARRINGTON HWY|KAPOLEI|District 8
02/20/2023   21:37:28  PM|DUI|GEIGER RD / KAPOLEI PKWY|EWA BEACH|District 8
02/20/2023   21:04:03  PM|MISC PUB|1XX  H1W FWY|AIEA|District 3
02/20/2023   20:45:42  PM|FAMILY OFF/NEG|9510XX  HALEKUA ST|MILILANI|District 2
02/20/2023   20:31:58  PM|ARSON|8600XX  FARRINGTON HWY|WAIANAE|District 8
