01/13/2023   03:58:22  AM|MEDICAL ASSIST|9XX  WAIAKAMILO RD|KALIHI|District 5
01/13/2023   03:57:47  AM|ARGUMENT|25XX  COYNE ST|MCCULLY|District 7
01/13/2023   03:47:52  AM|PARKING VIOLATION|10XX  PROSPECT ST|PUNCHBOWL|District 1
01/13/2023   03:04:57  AM|RUNAWAY CXL|5606XX  KAM HWY|KAHUKU|District 4
01/13/2023   02:38:56  AM|VEH TOWED|KAPIOLANI BLVD / MCCULLY ST|MCCULLY|District 7
01/13/2023   02:18:11  AM|VEH TOWED|KAPIOLANI BLVD / PAANI ST|MCCULLY|District 7
01/13/2023   01:17:10  AM|WARRANT ARREST|MAKALOA ST / KEEAUMOKU ST|HONOLULU|District 1
01/13/2023   01:11:12  AM|DUI|S KING ST / BISHOP ST|DOWNTOWN|District 1
01/13/2023   00:07:32  AM|PROPERTY DAMAGE|1XX  LEHUA ST|WAHIAWA|District 2
