12/23/2023   01:11:06  AM|NUISANCE COMPLAINT|2XX  VINEYARD ST|DOWNTOWN|District 1
12/23/2023   01:09:03  AM|SIMPLE ASSAULT|N KING ST / KOKEA ST|KALIHI|District 5
12/23/2023   01:05:56  AM|NOISE COMPLAINT|9408XX  KUHAULUA ST|WAIPAHU|District 3
12/23/2023   01:05:52  AM|SUSP CIRCUMSTANCE|21XX  LAUWILIWILI ST|KAPOLEI|District 8
12/23/2023   00:35:24  AM|VEH TOWED|2XX  H1W FWY|KALIHI|District 5
12/23/2023   00:17:03  AM|MVC VEH TOWED|9403XX  KAHUAWAI ST|WAIPAHU|District 3
12/22/2023   23:27:12  PM|DUI|XX  H1W FWY|WAIPIO|District 3
12/22/2023   22:18:17  PM|MVC VEH TOWED|ULUNE ST / KAIMAKANI ST|AIEA|District 3
12/22/2023   19:03:06  PM|SIMPLE ASSAULT|5XX  ALAKAWA ST|KALIHI|District 5
