08/15/2024   01:06:38  AM|TRAFFIC STOP|5XX  KAILUA RD|KAILUA|District 4
08/15/2024   01:06:10  AM|SIMPLE ASSAULT|24XX  ALA WAI BLVD|WAIKIKI|District 6
08/15/2024   00:58:16  AM|FIRE CALL|8516XX  HALEAHI RD|WAIANAE|District 8
08/15/2024   00:57:44  AM|MISC PUB|28XX  KALAKAUA AVE|WAIKIKI|District 6
08/15/2024   00:54:24  AM|MISC SERVICE CALL|8601XX  MOEHA ST|WAIANAE|District 8
08/15/2024   00:52:07  AM|NUISANCE COMPLAINT|AWANUI ST / AWAIKI ST|WAIPAHU|District 3
08/14/2024   23:36:31  PM|RAPE|3XX  PALM ST|WAHIAWA|District 2
08/14/2024   18:07:27  PM|AGGRAVATED ASSAULT|8513XX  PUHINALO PL|WAIANAE|District 8
08/14/2024   15:27:17  PM|ORDER VIOLATION|8702XX  HELELUA ST|NANAKULI|District 8
