02/16/2025   05:12:20  AM|TRAFFIC STOP|KALANIANAOLE HWY / WAIHOLO ST|KAHALA|District 7
02/16/2025   05:07:47  AM|NUISANCE COMPLAINT|17XX  S KING ST|MCCULLY|District 1
02/16/2025   05:05:10  AM|SUSP CIRCUMSTANCE|9XX  HALEKAUWILA ST|HONOLULU|District 1
02/16/2025   04:55:01  AM|SUSP PERSON|30XX  ALA MAKAHALA PL|SALT LAKE|District 5
02/16/2025   04:20:23  AM|DUI|S KING ST / PIIKOI ST|HONOLULU|District 1
02/16/2025   01:56:49  AM|SIMPLE ASSAULT|17XX  HOOLAULEA ST|PEARL CITY|District 3
02/16/2025   01:28:51  AM|FOLLOW UP|24XX  AHAIKI ST|PEARL CITY|District 3
02/16/2025   00:24:16  AM|AGGRAVATED ASSAULT|9115XX  RENTON RD|EWA BEACH|District 8
02/15/2025   23:07:57  PM|WARRANT ARREST|26XX  KILIHAU ST|MAPUNAPUNA|District 5
