12/23/2023   03:12:10  AM|JUVENILE NUISANCE|4XX  KAULUWELA PL|DOWNTOWN|District 1
12/23/2023   03:05:54  AM|VEH TOWED|4XX  NOHONANI ST|WAIKIKI|District 6
12/23/2023   03:04:13  AM|PROPERTY DAMAGE|8720XX  FARRINGTON HWY|NANAKULI|District 8
12/23/2023   02:57:00  AM|ROBBERY VEH TAKEN|9208XX  MAKAKILO DR|MAKAKILO|District 8
12/23/2023   02:55:12  AM|FOLLOW UP|9901XX  KOHOMUA ST|AIEA|District 3
12/23/2023   02:53:54  AM|ROBBERY|MAKANI AVE / OLIVE AVE|WAHIAWA|District 2
12/23/2023   02:50:52  AM|TRAFFIC COMPLAINT|9812XX  KAAHUMANU ST|PEARL CITY|District 3
12/23/2023   01:17:36  AM|VEH TOWED|6201XX  EMERSON RD|HALEIWA|District 2
12/23/2023   01:05:52  AM|WARRANT ARREST|21XX  LAUWILIWILI ST|KAPOLEI|District 8
