02/09/2025   05:28:38  AM|SUSP CIRCUMSTANCE|5XX  HOOULU ST|KAILUA|District 4
02/09/2025   05:27:41  AM|ARGUMENT|13XX  PALI HWY|DOWNTOWN|District 1
02/09/2025   05:24:28  AM|HARASSMENT|20XX  KALAKAUA AVE|WAIKIKI|District 6
02/09/2025   05:10:41  AM|PARKING VIOLATION|15XX  KEWALO ST|MAKIKI|District 1
02/09/2025   05:08:08  AM|ICF/SCF|9XX  MAUNAKEA ST|DOWNTOWN|District 1
02/09/2025   04:25:26  AM|NUISANCE COMPLAINT|17XX  YOUNG ST|MCCULLY|District 7
02/09/2025   04:18:57  AM|UEMV|7XX  KINAU ST|HONOLULU|District 1
02/09/2025   04:09:18  AM|AGGRAVATED ASSAULT|21XX  S BERETANIA ST|MCCULLY|District 7
02/09/2025   00:41:47  AM|ROBBERY|11XX  NUUANU AVE|DOWNTOWN|District 1
02/09/2025   00:02:25  AM|THREATENING|8701XX  KULAAUPUNI ST|MAILI|District 8
