03/12/2024   21:40:24  PM|ALARM CALL|15XX  N KING ST|KALIHI|District 5
03/12/2024   21:40:20  PM|ICF/SCF|13XX  PALI HWY|DOWNTOWN|District 1
03/12/2024   21:25:53  PM|VEH TOWED|IROQUOIS RD / FORT WEAVER RD|EWA BEACH|District 8
03/12/2024   21:23:20  PM|MISC CRIME OFFENSE|8506XX  FARRINGTON HWY|WAIANAE|District 8
03/12/2024   21:05:49  PM|ARGUMENT FAMILY|9112XX  HOOPIO ST|EWA BEACH|District 8
03/12/2024   20:56:51  PM|TRESPASS WARN|22XX  KALAKAUA AVE|WAIKIKI|District 6
03/12/2024   20:50:27  PM|WARRANT ARREST|22XX  KALAKAUA AVE|WAIKIKI|District 6
03/12/2024   20:31:11  PM|WARRANT ARREST|NOHONANI ST / KUHIO AVE|WAIKIKI|District 6
03/12/2024   14:32:49  PM|FOLLOW UP|6601XX  OLIANA PL|WAIALUA|District 2
