05/08/2023   01:43:43  AM|NOISE COMPLAINT|KUHIO AVE / OLOHANA ST|WAIKIKI|District 6
05/08/2023   01:41:04  AM|TRAFFIC STOP|KAM HWY / WAIHEE RD|KAHALUU|District 4
05/08/2023   01:40:04  AM|WARRANT ARREST|MOKAPU BLVD / ILIKUPONO ST|KAILUA|District 4
05/08/2023   01:32:25  AM|VEH TOWED|10XX  KAWAIAHAO ST|HONOLULU|District 1
05/08/2023   01:32:19  AM|MVC|N NIMITZ HWY / ALAKAWA ST|KALIHI|District 5
05/08/2023   01:00:34  AM|THEFT|9403XX  UKEE ST|WAIPIO|District 3
05/07/2023   23:46:32  PM|VEH TOWED|ALA MOANA PARK DR / ATKINSON DR|ALA MOANA|District 1
05/07/2023   23:42:49  PM|UNATTENDED DEATH|9811XX  MALUALUA ST|AIEA|District 3
05/07/2023   23:04:16  PM|VEH TOWED|GULICK AVE / WATERHOUSE ST|KALIHI|District 5
