11/29/2023   10:13:27  AM|NUISANCE COMPLAINT|12XX  MAUNAKEA ST|DOWNTOWN|District 1
11/29/2023   10:12:59  AM|MISC SERVICE CALL|9404XX  KUPUNA LOOP|WAIPAHU|District 3
11/29/2023   10:11:45  AM|PARKING VIOLATION|72XX  HAWAII KAI DR|HAWAII KAI|District 7
11/29/2023   10:11:35  AM|MVC VEH TOWED|WAKEA ONTO H1E|KAPOLEI|District 8
11/29/2023   10:10:23  AM|PARKING VIOLATION|UUKU ST / NAKULA ST|WAHIAWA|District 2
11/29/2023   10:05:57  AM|MISC PUB|4501XX  HALEMUKU PL|KANEOHE|District 4
11/29/2023   10:05:40  AM|COUNTERFEIT/FORGERY|5XX  ALAKAWA ST|KALIHI|District 5
11/29/2023   09:52:48  AM|AUTO THEFT|13XX  WANAKA ST|ALIAMANU|District 5
11/29/2023   09:51:20  AM|STALLED/HAZARD VEH|FORT WEAVER RD / LAULAUNUI ST|EWA BEACH|District 8
11/29/2023   09:49:59  AM|HARASSMENT|8909XX  NANAKULI AVE|NANAKULI|District 8
11/29/2023   09:48:05  AM|PROPERTY DAMAGE|2XX  N KALAHEO AVE|KAILUA|District 4
11/29/2023   09:41:31  AM|MISC PUB|18XX  KAM IV RD|KALIHI|District 5
11/29/2023   09:36:51  AM|TRESPASS|16XX  N SCHOOL ST|KALIHI|District 5
11/29/2023   09:30:41  AM|RUNAWAY CXL|32XX  SALT LAKE BLVD|ALIAMANU|District 5
11/29/2023   09:14:52  AM|THEFT|11XX  KEMOLE LN|MCCULLY|District 7
11/29/2023   09:10:07  AM|FOLLOW UP|8409XX  HANA ST|MAKAHA|District 8
11/29/2023   08:58:28  AM|MISC PUB|6606XX  KAM HWY|HALEIWA|District 2
11/29/2023   08:35:14  AM|ORDER VIOLATION|4601XX  KAM HWY|KANEOHE|District 4
11/29/2023   08:07:22  AM|FAMILY OFF/NEG|8702XX  HELELUA ST|NANAKULI|District 8
11/29/2023   07:53:35  AM|FOLLOW UP|39XX  MAUNAHILU PL|KAIMUKI|District 7
