09/10/2024   01:12:15  AM|MISC SERVICE CALL|17XX  ALA MOANA BLVD|WAIKIKI|District 6
09/10/2024   01:10:54  AM|MEDICAL ASSIST|RAIL COLUMN 23|EWA BEACH|District 8
09/10/2024   01:05:17  AM|TRAFFIC STOP|KAUIOKALANI PL / FARRINGTON HWY|WAIANAE|District 8
09/10/2024   00:45:43  AM|SEX ASSAULT|7XX  E TEAFF CT|HALE MOKU|District 5
09/10/2024   00:36:06  AM|DUI|MIDDLE ST / KAHAUIKI ST|KALIHI|District 5
09/10/2024   00:15:07  AM|ALARM CALL|9407XX  FARRINGTON HWY|WAIPAHU|District 3
09/09/2024   23:57:21  PM|SIMPLE ASSAULT|6XX  ALA MOANA BLVD|KAKAAKO|District 1
09/09/2024   23:05:15  PM|WARRANT ARREST|XX  H1W FWY|WAIPAHU|District 3
09/09/2024   22:22:56  PM|WARRANT ARREST|9400XX  FARRINGTON HWY|WAIPAHU|District 3
