03/14/2025   00:10:11  AM|FAMILY OFF/NEG|15XX  H3W FWY|MCBH|District 4
03/14/2025   00:09:10  AM|ANIMAL NOISE|9404XX  PALAI ST|WAIPAHU|District 3
03/13/2025   23:42:09  PM|WARRANT ARREST|5XX  QUINN LN|HONOLULU|District 1
03/13/2025   23:14:27  PM|TRESPASS WARN|22XX  KALAKAUA AVE|WAIKIKI|District 6
03/13/2025   22:56:50  PM|MISC PUB|24XX  PRINCE EDWARD ST|WAIKIKI|District 6
03/13/2025   22:50:25  PM|MISC CRIME OFFENSE|35XX  LEAHI AVE|WAIKIKI|District 6
03/13/2025   21:53:07  PM|THEFT|10XX  KAM HWY|PEARL CITY|District 3
03/13/2025   21:22:36  PM|AGGRAVATED ASSAULT|6XX  CORAL ST|HONOLULU|District 1
03/13/2025   20:28:25  PM|AUTO THEFT RECOVERY|PENSACOLA ST / PROSPECT ST|PUNCHBOWL|District 1
